Neighborhood,HouseStyle,sale_month,property_count,average_sale_price,median_sale_price,average_living_area,average_price_per_sqft,price_rank_in_month
Edwards,1Story,3,6,135916.66666666666,153500.0,1130.6666666666667,117.19990520695718,33
CollgCr,SFoyer,3,1,133000.0,133000.0,768.0,173.17708333333334,34
BrkSide,1.5Fin,3,1,131000.0,131000.0,1218.0,107.55336617405582,35
IDOTRR,2Story,3,1,127000.0,127000.0,1355.0,93.7269372693727,36
Edwards,SLvl,3,1,107000.0,107000.0,1117.0,95.79230080572964,37
IDOTRR,2.5Unf,3,1,101000.0,101000.0,1111.0,90.9090909090909,38
Edwards,1.5Fin,3,2,99950.0,99950.0,1166.0,85.71086838413571,39
OldTown,1Story,3,4,95492.75,102235.5,1013.0,92.72495396168749,40
IDOTRR,1.5Fin,3,1,89500.0,89500.0,1406.0,63.65576102418208,41
BrDale,2Story,3,1,88000.0,88000.0,1092.0,80.58608058608058,42
OldTown,1.5Fin,3,1,87000.0,87000.0,1248.0,69.71153846153847,43
NridgHt,2Story,4,1,437154.0,437154.0,2728.0,160.24706744868035,1
NridgHt,1Story,4,4,357923.0,334596.0,1793.5,193.295022864688,2
ClearCr,2Story,4,1,328000.0,328000.0,2260.0,145.13274336283186,3
Timber,1Story,4,1,293077.0,293077.0,1646.0,178.05407047387607,4
NoRidge,1.5Fin,4,1,285000.0,285000.0,2872.0,99.23398328690807,5
NoRidge,2Story,4,4,283750.0,275000.0,2488.75,114.38434564189467,6
Veenker,1Story,4,1,270000.0,270000.0,1494.0,180.72289156626505,7
Timber,2Story,4,3,262633.3333333333,250000.0,2313.6666666666665,112.92470635822087,8
ClearCr,1Story,4,2,250750.0,250750.0,1443.5,173.89317989690028,9
CollgCr,2Story,4,5,250474.0,212000.0,1956.4,125.30864085702339,10
Somerst,2Story,4,4,239725.5,237500.0,1666.75,139.3692000842858,11
Somerst,1Story,4,5,215280.0,208900.0,1409.4,152.5400797825347,12
StoneBr,1Story,4,1,213500.0,213500.0,1338.0,159.56651718983557,13
Gilbert,2Story,4,3,204666.66666666666,193000.0,1773.0,117.2051075241706,14
Blmngtn,1Story,4,2,202745.0,202745.0,1387.5,146.52993228033492,15
Mitchel,1Story,4,4,192225.0,185500.0,1461.75,131.12492443372287,16
SawyerW,2Story,4,3,189333.33333333334,171000.0,1614.3333333333333,114.09125243454206,17
Timber,1.5Fin,4,1,187500.0,187500.0,1717.0,109.20209668025626,18
NAmes,SLvl,4,1,180500.0,180500.0,1152.0,156.68402777777777,19
Gilbert,SLvl,4,1,180000.0,180000.0,1430.0,125.87412587412588,20
CollgCr,1Story,4,5,171960.0,204900.0,1268.2,133.85238041123472,21
NWAmes,2Story,4,2,164000.0,164000.0,1799.0,91.40296346228264,22
Sawyer,2Story,4,1,158900.0,158900.0,1386.0,114.64646464646465,23
SWISU,2Story,4,1,155000.0,155000.0,1135.0,136.56387665198238,24
NPkVill,2Story,4,1,148500.0,148500.0,1441.0,103.05343511450381,25
NWAmes,1Story,4,4,147575.0,162450.0,1446.5,102.35220970909836,26
SawyerW,SFoyer,4,1,147000.0,147000.0,996.0,147.59036144578315,27
NAmes,1Story,4,19,145114.47368421053,142125.0,1221.7894736842106,122.69644683404589,28
SawyerW,1Story,4,3,143166.66666666666,141000.0,1144.0,123.58083943324733,29
Mitchel,2Story,4,1,139000.0,139000.0,1824.0,76.20614035087719,30
Edwards,SFoyer,4,1,137500.0,137500.0,1181.0,116.42675698560542,31
Sawyer,SFoyer,4,1,134900.0,134900.0,858.0,157.22610722610722,32
CollgCr,SFoyer,4,1,133900.0,133900.0,768.0,174.34895833333334,33
OldTown,2Story,4,3,133166.66666666666,137000.0,1976.0,68.80762869906873,34
Edwards,2Story,4,3,132500.0,130000.0,1708.6666666666667,77.54556512817983,35
Sawyer,1Story,4,7,132500.0,132000.0,1158.857142857143,118.93174477469654,35
OldTown,1Story,4,2,132350.0,132350.0,1012.5,133.43531199625923,36
OldTown,1.5Fin,4,6,130316.66666666667,129950.0,1532.0,85.62538102709543,37
Mitchel,SFoyer,4,1,129500.0,129500.0,768.0,168.61979166666666,38
OldTown,2.5Unf,4,1,129500.0,129500.0,2058.0,62.925170068027214,38
BrkSide,1.5Fin,4,2,128250.0,128250.0,1441.5,88.75414810173582,39
NAmes,1.5Fin,4,3,121333.33333333333,119000.0,1395.3333333333333,87.07161872744759,40
Edwards,1Story,4,8,115362.5,108500.0,1071.25,108.38866298277078,41
Sawyer,1.5Fin,4,1,112000.0,112000.0,1902.0,58.88538380651946,42
Edwards,1.5Fin,4,6,111750.0,116000.0,1334.3333333333333,84.6002542591856,43
IDOTRR,1Story,4,1,106500.0,106500.0,951.0,111.98738170347004,44
OldTown,1.5Unf,4,1,103200.0,103200.0,882.0,117.00680272108843,45
BrkSide,1Story,4,1,100000.0,100000.0,788.0,126.90355329949239,46
BrDale,2Story,4,2,98750.0,98750.0,1260.0,78.26818157741405,47
SWISU,1Story,4,1,91000.0,91000.0,790.0,115.18987341772151,48
MeadowV,2Story,4,1,85000.0,85000.0,1112.0,76.43884892086331,49
MeadowV,SFoyer,4,1,80000.0,80000.0,630.0,126.98412698412699,50
IDOTRR,1.5Fin,4,1,68400.0,68400.0,1128.0,60.638297872340424,51
NoRidge,1Story,5,1,430000.0,430000.0,3228.0,133.20941759603468,1
Crawfor,1.5Fin,5,2,346250.0,346250.0,2700.5,134.97373890161265,2
NoRidge,2Story,5,2,336584.0,336584.0,2524.5,133.48317641793153,3
Crawfor,1Story,5,1,335000.0,335000.0,1902.0,176.130389064143,4
NridgHt,1Story,5,4,297824.5,278000.0,1750.0,167.78590065604158,5
OldTown,2.5Fin,5,1,295000.0,295000.0,3493.0,84.45462353277985,6
Timber,1Story,5,5,289632.6,287000.0,2012.8,147.7160636813018,7
NridgHt,2Story,5,1,285000.0,285000.0,2374.0,120.05054759898904,8
Timber,2Story,5,1,269500.0,269500.0,1968.0,136.9410569105691,9
Crawfor,2Story,5,1,266500.0,266500.0,2340.0,113.88888888888889,10
Somerst,1Story,5,4,253167.5,268835.0,1468.0,171.46570387309345,11
Veenker,1Story,5,2,252750.0,252750.0,1490.5,166.15050489126378,12
CollgCr,2Story,5,6,247191.66666666666,243700.0,2044.8333333333333,121.2210315557832,13
SawyerW,2Story,5,4,244070.0,233640.0,2376.5,102.88186823630333,14
Somerst,2Story,5,6,216891.66666666666,216750.0,1773.0,121.7247933423664,15
NAmes,2Story,5,2,213900.0,213900.0,1988.5,107.82713577567542,16
ClearCr,2Story,5,1,200000.0,200000.0,1688.0,118.48341232227489,17
NWAmes,1Story,5,4,191000.0,191250.0,1628.0,117.40782771190518,18
Blmngtn,1Story,5,6,189023.33333333334,186000.0,1500.3333333333333,126.2194086501541,19
Gilbert,2Story,5,10,188738.5,180750.0,1791.0,106.6036098415934,20
CollgCr,1Story,5,17,181294.11764705883,185500.0,1227.0,150.99067759450605,21
BrkSide,2Story,5,2,180500.0,180500.0,1544.5,116.34688453034781,22
Gilbert,1Story,5,1,180500.0,180500.0,1442.0,125.17337031900139,22
Timber,SLvl,5,2,177500.0,177500.0,1270.0,141.88519233513864,23
Mitchel,1Story,5,3,173333.33333333334,164000.0,1303.0,134.01470201890973,24
NWAmes,2Story,5,2,166950.0,166950.0,1486.0,113.00987248195432,25
Gilbert,SLvl,5,2,164250.0,164250.0,1473.0,111.50522093091854,26
SawyerW,1Story,5,5,162580.0,158000.0,1183.6,138.67271867492454,27
NAmes,SLvl,5,3,161133.33333333334,174900.0,1245.6666666666667,129.60831914487875,28
Edwards,SLvl,5,2,161000.0,161000.0,1214.5,132.8479883192732,29
SWISU,2Story,5,2,158500.0,158500.0,2124.0,75.1907105926052,30
Mitchel,SLvl,5,2,158350.0,158350.0,1048.0,151.27155070357378,31
Sawyer,SLvl,5,2,154750.0,154750.0,1140.0,137.83143939393938,32
BrkSide,1.5Fin,5,3,153166.66666666666,132500.0,1465.0,103.02471537005921,33
NAmes,1Story,5,21,146745.2380952381,141000.0,1201.4761904761904,123.23041289289053,34
NAmes,1.5Fin,5,1,138000.0,138000.0,1904.0,72.47899159663865,35
NAmes,SFoyer,5,2,136000.0,136000.0,1026.5,132.54502130213706,36
Mitchel,SFoyer,5,1,135000.0,135000.0,1004.0,134.4621513944223,37
NAmes,1.5Unf,5,1,135000.0,135000.0,893.0,151.17581187010077,37
OldTown,2Story,5,8,132234.875,113750.0,1755.875,75.20795857507746,38
Sawyer,1Story,5,9,129277.77777777778,129000.0,1002.8888888888889,131.55149810278297,39
Sawyer,SFoyer,5,1,129000.0,129000.0,913.0,141.2924424972618,40
SWISU,1.5Fin,5,1,127000.0,127000.0,1691.0,75.10348905972798,41
IDOTRR,1.5Fin,5,1,125500.0,125500.0,1154.0,108.7521663778163,42
Blueste,2Story,5,1,124000.0,124000.0,1229.0,100.89503661513426,43
Edwards,2Story,5,2,121000.0,121000.0,1527.5,79.63869280454756,44
OldTown,1Story,5,3,120800.0,109500.0,878.0,138.7856506238859,45
Edwards,SFoyer,5,1,118500.0,118500.0,816.0,145.22058823529412,46
BrDale,2Story,5,5,117200.0,118000.0,1218.0,97.36119480516328,47
Edwards,1.5Fin,5,3,115500.0,130500.0,1284.6666666666667,89.66629895201324,48
BrkSide,1.5Unf,5,2,115250.0,115250.0,868.0,133.3846038415366,49
OldTown,1.5Fin,5,5,111660.0,119900.0,1438.4,78.23107521899274,50
BrkSide,1Story,5,6,108333.33333333333,115500.0,962.8333333333334,117.77573836438368,51
IDOTRR,1Story,5,3,106466.66666666667,110000.0,968.3333333333334,112.09797790542115,52
Edwards,1Story,5,10,105225.0,100000.0,1050.4,103.6218588367135,53
Sawyer,1.5Fin,5,1,94000.0,94000.0,1020.0,92.15686274509804,54
MeadowV,2Story,5,2,90250.0,90250.0,1218.0,74.31891025641025,55
MeadowV,SFoyer,5,2,80750.0,80750.0,630.0,128.17460317460316,56
OldTown,2.5Fin,6,1,475000.0,475000.0,3608.0,131.6518847006652,1
StoneBr,2Story,6,3,367333.3333333333,325000.0,2516.6666666666665,143.0414145947716,2
NridgHt,2Story,6,5,321290.0,350000.0,2103.6,150.0037536420577,3
StoneBr,1Story,6,3,288810.6666666667,260000.0,1629.3333333333333,174.53234057192267,4
ClearCr,1.5Fin,6,1,277000.0,277000.0,2144.0,129.19776119402985,5
NridgHt,1Story,6,5,275160.0,224000.0,1712.0,158.07405931468898,6
NoRidge,2Story,6,9,273754.44444444444,280000.0,2259.5555555555557,121.65281719956495,7
Timber,1Story,6,3,251666.66666666666,220000.0,1673.0,149.5935595581345,8
Somerst,1Story,6,6,236342.66666666666,233864.0,1561.3333333333333,151.42101216677847,9
Crawfor,2Story,6,2,232000.0,232000.0,1798.5,132.05751483190508,10
ClearCr,2Story,6,3,223133.33333333334,240000.0,2160.6666666666665,103.87064644920945,11
CollgCr,2Story,6,7,216542.85714285713,200500.0,1825.0,118.27004314948148,12
Mitchel,2Story,6,1,215000.0,215000.0,1961.0,109.63793982661907,13
ClearCr,1Story,6,3,211666.66666666666,190000.0,1626.3333333333333,127.58403358244514,14
SawyerW,2Story,6,6,201408.83333333334,206000.0,1982.3333333333333,102.65176117900792,15
NWAmes,2Story,6,4,200000.0,192500.0,2095.0,95.90192512350035,16
Crawfor,1.5Fin,6,3,199983.33333333334,189950.0,1597.0,125.68838179925308,17
Veenker,SLvl,6,1,194000.0,194000.0,1432.0,135.47486033519553,18
NWAmes,SLvl,6,2,192700.0,192700.0,1598.0,121.08445034298396,19
NWAmes,1Story,6,8,192456.875,194375.0,1638.75,116.92998033957612,20
Gilbert,2Story,6,10,190960.0,184100.0,1693.4,113.19887876185575,21
Somerst,2Story,6,12,180677.75,174866.5,1437.75,126.21422704082609,22
NAmes,SLvl,6,4,178862.5,164225.0,1638.0,120.19438423649832,23
Crawfor,1Story,6,3,178083.33333333334,157000.0,1376.3333333333333,127.68694334205314,24
CollgCr,1Story,6,11,176418.18181818182,178000.0,1242.7272727272727,144.16448012189045,25
NAmes,2Story,6,7,174114.2857142857,167900.0,1829.142857142857,96.25516593855721,26
Blmngtn,1Story,6,2,173250.0,173250.0,1406.5,124.50976132175299,27
Mitchel,SLvl,6,1,173000.0,173000.0,1217.0,142.15283483976992,28
BrkSide,1.5Fin,6,4,170225.0,173450.0,1623.25,104.52741601993708,29
SawyerW,1Story,6,5,169584.4,159000.0,1534.8,111.99262997221642,30
Gilbert,1.5Fin,6,1,164000.0,164000.0,1752.0,93.60730593607306,31
Veenker,1Story,6,2,163750.0,163750.0,1220.0,134.2443773114303,32
Gilbert,1Story,6,2,158500.0,158500.0,1058.5,151.82866675534274,33
Mitchel,SFoyer,6,1,156000.0,156000.0,912.0,171.05263157894737,34
ClearCr,SLvl,6,1,155000.0,155000.0,1052.0,147.3384030418251,35
OldTown,1.5Fin,6,7,154628.57142857142,139000.0,1700.0,91.17495437445639,36
SawyerW,SFoyer,6,1,153337.0,153337.0,1224.0,125.27532679738562,37
Edwards,SLvl,6,1,148000.0,148000.0,1072.0,138.0597014925373,38
Sawyer,SFoyer,6,1,148000.0,148000.0,1155.0,128.13852813852813,38
NPkVill,2Story,6,1,147000.0,147000.0,1322.0,111.19515885022693,39
OldTown,SFoyer,6,1,144000.0,144000.0,1056.0,136.36363636363637,40
NAmes,1.5Fin,6,3,143300.0,159000.0,1619.0,90.63594309123101,41
Sawyer,1Story,6,8,142981.25,140750.0,1177.625,124.82805108273179,42
Mitchel,1Story,6,8,140875.0,136000.0,1064.875,137.65380874798183,43
Edwards,SFoyer,6,1,140000.0,140000.0,1072.0,130.59701492537314,44
IDOTRR,1.5Unf,6,1,139400.0,139400.0,1108.0,125.81227436823104,45
OldTown,2Story,6,6,139333.33333333334,140250.0,1599.3333333333333,87.43666131064602,46
SWISU,1.5Fin,6,4,138375.0,138250.0,1644.75,83.58794757645936,47
NAmes,1Story,6,26,137869.23076923078,139500.0,1193.076923076923,117.22144880932183,48
MeadowV,2Story,6,2,133200.0,133200.0,1912.5,74.12285878376241,49
NAmes,SFoyer,6,1,133000.0,133000.0,767.0,173.40286831812256,50
Edwards,1Story,6,12,132133.33333333334,134300.0,1244.75,109.08915852028406,51
MeadowV,1Story,6,1,129900.0,129900.0,1060.0,122.54716981132076,52
BrkSide,2Story,6,1,128000.0,128000.0,1362.0,93.97944199706315,53
OldTown,2.5Unf,6,1,128000.0,128000.0,1484.0,86.2533692722372,53
IDOTRR,1.5Fin,6,6,126750.0,127250.0,1349.6666666666667,95.10944016609044,54
OldTown,1Story,6,8,107375.0,111250.0,973.5,112.31440427285048,55
NAmes,1.5Unf,6,1,105500.0,105500.0,832.0,126.80288461538461,56
Crawfor,1.5Unf,6,1,96500.0,96500.0,789.0,122.30671736375159,57
BrDale,2Story,6,2,88750.0,88750.0,987.0,89.91894630192502,58
IDOTRR,1Story,6,2,88246.5,88246.5,930.0,100.65235519495154,59
OldTown,1.5Unf,6,1,87000.0,87000.0,840.0,103.57142857142857,60
BrkSide,1Story,6,2,84450.0,84450.0,681.5,125.72084876301744,61
MeadowV,SFoyer,6,1,81000.0,81000.0,630.0,128.57142857142858,62
StoneBr,2Story,7,2,459250.0,459250.0,2722.0,167.28120289638503,1
StoneBr,1Story,7,3,417254.3333333333,377426.0,2067.3333333333335,201.02337597019027,2
NoRidge,2Story,7,9,404333.3333333333,337000.0,2802.6666666666665,140.24280522098212,3
NAmes,SLvl,7,1,345000.0,345000.0,2704.0,127.58875739644971,4
NridgHt,2Story,7,4,334500.0,340000.0,2318.5,140.6734719296876,5
NridgHt,1Story,7,9,300234.77777777775,266000.0,1685.3333333333333,176.21780403939002,6
Veenker,2Story,7,1,294000.0,294000.0,2167.0,135.67143516382095,7
NoRidge,1Story,7,1,262000.0,262000.0,1624.0,161.33004926108376,8
OldTown,2.5Unf,7,2,234500.0,234500.0,2232.5,101.16210885441654,9
NWAmes,2Story,7,6,228300.0,220000.0,2242.1666666666665,103.37674692710392,10
Somerst,1Story,7,4,226345.0,229840.0,1512.25,149.63144868781285,11
Veenker,1Story,7,1,218000.0,218000.0,1437.0,151.70494084899096,12
Somerst,2Story,7,3,216692.66666666666,250000.0,1677.6666666666667,128.21327199752858,13
BrkSide,2.5Unf,7,1,214500.0,214500.0,2134.0,100.51546391752578,14
Timber,2Story,7,2,214250.0,214250.0,1724.0,124.42816792947653,15
Crawfor,2Story,7,6,205247.83333333334,209800.0,1925.8333333333333,106.73158046206049,16
CollgCr,2Story,7,10,200395.5,202500.0,1756.6,113.96905191902256,17
Edwards,SFoyer,7,1,198500.0,198500.0,1922.0,103.27783558792925,18
CollgCr,1Story,7,13,196832.23076923078,193879.0,1332.076923076923,148.42334494970194,19
SawyerW,2Story,7,3,196633.33333333334,201000.0,1699.6666666666667,115.50810514229265,20
Gilbert,2Story,7,13,191652.3076923077,187500.0,1637.2307692307693,117.7204681076678,21
NWAmes,1Story,7,3,190500.0,153500.0,1587.3333333333333,124.44706491369554,22
ClearCr,2Story,7,1,187500.0,187500.0,2087.0,89.8418782942022,23
Crawfor,1Story,7,2,183750.0,183750.0,1495.5,121.76354013607988,24
Timber,1Story,7,4,181750.0,178000.0,1317.5,138.58545457897267,25
ClearCr,1.5Fin,7,2,179716.0,179716.0,1937.5,91.51853593688563,26
SWISU,2.5Fin,7,1,179500.0,179500.0,2192.0,81.88868613138686,27
NAmes,SFoyer,7,1,178400.0,178400.0,999.0,178.57857857857857,28
Gilbert,SLvl,7,2,176950.0,176950.0,1324.0,136.77202473130973,29
Mitchel,1Story,7,5,173080.0,171000.0,1648.8,103.59697919675867,30
Gilbert,1Story,7,1,173000.0,173000.0,1167.0,148.2433590402742,31
Sawyer,1.5Fin,7,1,172500.0,172500.0,1920.0,89.84375,32
Sawyer,2Story,7,1,172500.0,172500.0,1683.0,102.49554367201426,32
Mitchel,SLvl,7,1,171000.0,171000.0,1118.0,152.95169946332737,33
BrkSide,2Story,7,2,167037.5,167037.5,1610.0,104.48453915950334,34
Edwards,2Story,7,4,165875.0,162450.0,1639.75,99.72157775711526,35
Mitchel,SFoyer,7,1,165500.0,165500.0,1110.0,149.0990990990991,36
NAmes,2Story,7,4,162125.0,162250.0,1732.75,95.22721210155797,37
SawyerW,1Story,7,4,161775.0,167100.0,1317.75,124.13038916451112,38
Mitchel,1.5Fin,7,1,160000.0,160000.0,1750.0,91.42857142857143,39
SWISU,2Story,7,1,160000.0,160000.0,1928.0,82.98755186721992,39
Crawfor,1.5Fin,7,1,154900.0,154900.0,1343.0,115.33879374534624,40
Blueste,2Story,7,1,151000.0,151000.0,1556.0,97.04370179948586,41
Sawyer,SLvl,7,1,151000.0,151000.0,1212.0,124.58745874587459,41
NPkVill,2Story,7,3,149833.33333333334,148500.0,1486.6666666666667,100.7985608276306,42
SWISU,1.5Fin,7,2,149467.0,149467.0,1504.5,99.28891387720476,43
CollgCr,SFoyer,7,1,148000.0,148000.0,914.0,161.92560175054706,44
NWAmes,SLvl,7,1,148000.0,148000.0,1032.0,143.4108527131783,44
Sawyer,1Story,7,6,142583.33333333334,146500.0,1269.1666666666667,115.05832967231335,45
OldTown,2Story,7,3,142333.33333333334,143000.0,1998.6666666666667,74.15423113289059,46
Sawyer,SFoyer,7,1,137000.0,137000.0,860.0,159.30232558139534,47
NAmes,1.5Fin,7,2,133450.0,133450.0,1224.0,113.74842349251799,48
NAmes,1Story,7,38,133300.2105263158,133100.0,1134.7368421052631,121.3514822014898,49
CollgCr,SLvl,7,1,132500.0,132500.0,954.0,138.88888888888889,50
BrkSide,1.5Unf,7,1,132000.0,132000.0,854.0,154.56674473067915,51
ClearCr,SLvl,7,1,130000.0,130000.0,1352.0,96.15384615384616,52
NPkVill,1Story,7,1,127500.0,127500.0,1069.0,119.27034611786716,53
MeadowV,2Story,7,1,127000.0,127000.0,1475.0,86.10169491525424,54
IDOTRR,1.5Fin,7,1,125500.0,125500.0,1360.0,92.27941176470588,55
Edwards,1.5Fin,7,4,124500.0,116500.0,1363.0,90.70911737940135,56
BrkSide,1.5Fin,7,7,121628.57142857143,128000.0,1264.4285714285713,96.51678666304926,57
OldTown,1.5Fin,7,2,117000.0,117000.0,1253.0,95.16716949793962,58
OldTown,1Story,7,4,111293.75,109500.0,1048.5,106.24972843628642,59
IDOTRR,1Story,7,1,109900.0,109900.0,1196.0,91.88963210702342,60
OldTown,2.5Fin,7,1,104000.0,104000.0,2229.0,46.657694033198744,61
